Ubigeo;Departamento;Total;0 - 4;5-Set;Oct-14;15 - 19;20 - 24;25 - 29;30 - 34;35 - 39;40 - 44;45 - 49;50 - 54;55 -59;60 - 64;65 - 69;70 - 74;75 - 79;80 y más;Year
;Huancavelica;358,356;38,424;39,030;43,947;37,148;30,111;28,758;28,488;24,946;19,559;14,259;11,757;11,151;9,088;7,449;5,575;4,137;4,529;2021
;Huánuco;758,416;76,532;75,451;82,062;72,635;67,259;66,717;58,799;54,298;48,129;36,528;29,819;25,381;20,258;16,111;11,569;7,956;8,912;2021
;Ica;998,144;95,737;87,987;88,810;83,631;84,709;84,180;74,625;67,115;59,513;53,850;48,893;45,212;36,762;29,587;22,586;15,577;19,370;2021
;Junín;1,369,003;130,734;126,497;129,573;117,368;111,971;113,091;112,169;98,832;82,534;73,251;64,362;55,062;46,056;38,041;28,042;19,400;22,020;2021
;La Libertad;2,048,492;188,627;165,582;162,615;142,935;164,110;169,786;169,111;158,923;139,177;116,459;108,920;94,580;76,928;64,004;48,150;35,449;43,136;2021
;Lambayeque;1,325,912;115,057;108,509;111,225;99,262;106,521;105,146;102,318;94,119;85,552;77,110;73,379;63,718;52,454;44,771;33,109;23,041;30,621;2021
;Lima;10,814,450;731,126;648,689;684,218;693,238;849,901;898,909;857,476;861,004;828,174;755,199;689,903;600,338;478,717;410,475;316,528;225,137;285,418;2021
;Loreto;1,037,055;124,465;116,451;115,212;96,830;87,225;79,980;78,487;70,930;60,147;47,090;38,833;33,987;27,707;22,344;16,254;10,346;10,767;2021
;Madre de Dios;179,688;16,205;14,078;13,977;12,237;14,869;16,189;16,116;15,507;13,177;10,888;10,420;9,209;6,513;4,588;2,569;1,367;1,779;2021
;Moquegua;195,185;13,210;12,928;13,502;12,747;13,211;13,323;13,863;14,943;16,129;15,161;14,070;11,674;9,247;7,518;5,509;3,711;4,439;2021
;Pasco;270,842;24,260;24,521;26,947;23,012;21,421;20,391;20,285;21,622;19,656;16,500;13,880;11,235;8,468;6,591;4,767;3,183;4,103;2021
;Piura;2,077,039;181,803;174,305;185,498;167,726;170,287;182,459;165,196;152,711;143,209;116,164;103,200;90,432;76,161;63,790;41,426;28,755;33,917;2021
;Puno;1,233,277;109,082;108,365;111,563;104,077;101,431;105,194;99,595;88,162;77,076;71,570;60,506;50,676;41,751;34,178;26,498;19,374;24,179;2021
;San Martín;912,674;92,680;89,087;91,374;80,709;74,114;69,877;66,846;64,307;60,429;51,538;46,113;41,034;30,641;21,368;14,157;8,772;9,628;2021
;Tacna;377,842;25,576;23,602;24,963;25,521;29,440;29,666;29,859;30,390;31,328;27,392;25,579;22,373;16,952;13,096;9,237;6,190;6,678;2021
;Tumbes;255,712;21,928;20,774;21,160;19,673;19,900;18,828;18,965;19,038;20,074;17,708;15,102;12,813;10,069;7,836;5,233;3,210;3,401;2021
;Ucayali;602,400;68,600;60,006;56,862;49,210;50,309;48,360;43,521;43,535;40,810;33,128;28,622;24,715;18,674;14,101;9,237;5,694;7,016;2021
;Amazonas;429,483;45,412;44,593;46,620;40,155;33,726;32,140;34,094;32,069;27,713;21,768;18,152;15,751;12,388;9,547;6,623;4,240;4,492;2022
;Áncash;1,194,156;106,503;100,982;102,436;90,211;87,847;96,655;98,096;90,251;78,975;66,453;60,982;55,647;44,778;36,731;28,644;21,134;27,831;2022
;Apurímac;429,720;41,791;41,838;44,038;37,343;31,136;32,732;39,326;36,421;28,066;21,336;17,200;15,736;12,948;10,165;7,692;5,749;6,203;2022
;Arequipa;1,553,994;119,899;111,981;110,920;111,557;121,582;129,199;120,710;115,177;110,802;100,266;91,502;80,650;65,990;54,209;42,060;28,936;38,554;2022
;Ayacucho;670,579;67,320;66,460;68,872;61,117;54,111;57,983;57,887;49,163;39,184;32,126;27,152;24,408;20,006;15,592;11,440;8,383;9,375;2022
;Cajamarca;1,454,217;136,294;138,815;153,376;138,321;118,282;117,922;116,698;106,312;94,705;76,932;63,064;53,530;43,198;34,434;25,235;17,243;19,856;2022
;Prov. Const. del Callao;1,171,648;91,021;83,090;78,962;75,814;82,663;89,540;83,366;82,725;86,569;82,708;75,244;65,579;53,657;45,736;36,510;25,336;33,128;2022
;Cusco;1,380,594;126,527;122,512;128,906;119,304;110,906;117,599;117,777;106,318;90,391;72,590;62,246;57,021;47,455;36,538;26,394;17,607;20,503;2022
;Huancavelica;350,845;37,065;37,440;41,483;37,018;29,639;27,775;27,657;24,992;19,964;14,659;11,615;10,827;9,169;7,373;5,592;4,058;4,519;2022
;Huánuco;755,213;75,275;74,215;79,293;73,299;65,892;65,538;59,486;53,909;48,594;38,087;30,039;25,565;20,703;16,328;11,911;8,053;9,026;2022
;Ica;1,020,050;96,557;90,572;88,858;85,840;84,736;85,254;77,607;68,835;61,332;55,039;49,985;45,979;38,697;30,691;23,637;16,400;20,031;2022
;Junín;1,374,221;129,706;126,544;127,870;118,826;110,418;111,595;111,774;101,184;84,490;73,666;65,208;55,948;46,918;38,728;29,049;19,866;22,431;2022
;La Libertad;2,077,345;189,274;171,375;162,022;148,135;157,324;170,230;169,567;161,838;143,285;120,616;109,220;97,592;79,830;65,668;50,339;36,316;44,714;2022
;Lambayeque;1,338,994;114,608;110,250;110,340;102,640;102,431;105,413;102,644;95,945;86,756;78,448;73,531;65,604;54,094;45,634;34,869;24,032;31,755;2022
;Lima;10,986,006;743,609;670,312;675,312;713,480;826,106;906,232;872,173;860,782;840,298;773,762;703,268;619,742;501,577;417,984;331,252;234,124;295,993;2022
;Loreto;1,044,884;123,817;116,631;114,038;99,496;86,228;80,209;77,553;72,094;61,558;49,012;39,505;34,299;28,532;22,853;16,949;10,869;11,241;2022
;Madre de Dios;185,478;16,734;14,705;13,991;12,830;14,569;16,582;16,454;15,902;13,921;11,414;10,543;9,599;7,113;4,876;2,910;1,490;1,845;2022
;Moquegua;197,337;13,218;13,056;13,370;12,936;13,156;13,498;13,794;14,765;15,945;15,490;14,265;12,182;9,629;7,733;5,773;3,889;4,638;2022
;Pasco;269,296;23,663;24,044;25,977;23,356;20,955;20,308;19,900;21,001;19,923;16,814;14,056;11,504;8,752;6,711;4,908;3,271;4,153;2022
;Piura;2,103,099;181,169;176,571;182,793;171,800;166,210;180,932;170,619;154,724;145,454;122,259;104,365;92,739;78,387;65,517;45,015;29,307;35,238;2022
;Puno;1,226,353;107,059;106,847;109,098;103,451;98,964;102,684;99,655;89,069;77,604;71,145;61,766;51,283;42,356;34,529;26,857;19,541;24,445;2022
;San Martín;924,384;92,795;89,714;90,592;82,577;74,184;70,649;67,225;64,635;61,095;53,175;46,579;41,808;32,530;22,607;14,969;9,246;10,004;2022
;Tacna;384,222;25,716;24,304;24,685;25,989;28,955;30,197;30,053;30,526;31,365;28,524;25,782;23,160;18,008;13,595;9,787;6,493;7,083;2022
;Tumbes;259,556;22,019;21,114;21,041;20,049;19,833;19,205;18,861;19,058;19,892;18,391;15,559;13,205;10,561;8,154;5,613;3,413;3,588;2022
;Ucayali;615,024;69,528;61,993;57,299;50,833;49,349;49,390;44,553;43,332;41,685;34,777;29,178;25,420;19,755;14,679;9,943;6,028;7,282;2022
;Amazonas;429,943;44,894;44,348;45,131;41,290;33,481;32,079;32,756;32,738;27,922;22,901;18,009;16,079;12,759;9,740;6,914;4,339;4,563;2023
;Áncash;1,198,547;105,452;102,969;100,196;93,606;83,472;95,063;97,204;92,005;80,228;68,649;60,172;56,706;46,506;37,004;29,553;21,306;28,456;2023
;Apurímac;428,311;40,974;41,415;42,578;38,290;30,688;31,752;37,088;37,881;29,031;22,220;17,399;15,531;13,400;10,220;7,852;5,647;6,345;2023
;Arequipa;1,580,075;121,008;115,900;110,710;115,099;118,699;129,732;124,085;115,378;112,619;102,999;92,559;83,138;68,615;55,484;43,825;30,384;39,841;2023
;Ayacucho;670,377;66,260;66,103;66,859;62,204;53,118;56,155;57,827;50,832;40,333;32,801;27,474;24,303;20,688;15,798;11,804;8,279;9,539;2023
;Cajamarca;1,451,436;134,262;136,552;147,160;141,283;116,688;115,747;115,581;107,670;95,068;80,221;63,543;54,528;44,272;34,965;26,119;17,548;20,229;2023
;Prov. Const. del Callao;1,190,860;91,739;87,049;79,303;79,452;79,884;90,007;85,443;81,603;86,097;84,567;76,426;67,802;55,845;46,365;38,153;26,630;34,495;2023
;Cusco;1,389,737;125,727;123,564;125,312;122,473;108,836;115,397;117,969;108,955;92,767;75,796;62,398;57,365;48,991;37,647;27,352;18,208;20,980;2023
;Huancavelica;343,026;35,766;36,036;38,760;36,840;29,247;26,788;26,664;24,908;20,316;15,121;11,518;10,445;9,244;7,284;5,621;3,971;4,497;2023
;Huánuco;751,097;73,980;73,207;76,102;74,052;64,557;64,007;60,152;53,366;48,796;39,727;30,289;25,690;21,138;16,502;12,262;8,164;9,106;2023
;Ica;1,041,312;97,145;93,483;88,852;88,224;84,681;85,896;80,527;70,462;63,180;56,196;51,041;46,558;40,648;31,780;24,689;17,285;20,665;2023
;Junín;1,377,838;128,487;126,786;125,860;120,486;108,913;109,795;110,732;103,238;86,573;74,000;65,932;56,766;47,744;39,294;30,070;20,381;22,781;2023
;La Libertad;2,104,254;189,661;178,478;161,935;154,692;149,943;169,816;168,900;163,783;147,083;124,926;109,018;100,320;82,718;67,082;52,531;37,222;46,146;2023
;Lambayeque;1,350,663;114,053;112,582;109,525;106,816;97,976;105,188;102,377;97,457;87,843;79,736;73,324;67,312;55,720;46,266;36,618;25,080;32,790;2023
;Lima;11,147,924;756,010;698,394;668,417;738,554;799,395;908,064;884,828;856,452;850,024;791,164;714,623;637,609;525,495;424,042;345,785;243,376;305,692;2023
;Loreto;1,051,560;123,090;117,103;112,588;102,431;85,130;80,380;76,167;72,926;62,772;50,982;40,194;34,501;29,308;23,274;17,603;11,408;11,703;2023
;Madre de Dios;191,259;17,250;15,437;14,013;13,509;14,211;16,914;16,758;16,219;14,661;11,997;10,633;9,943;7,728;5,166;3,280;1,629;1,911;2023
;Moquegua;199,286;13,214;13,225;13,240;13,144;13,068;13,676;13,716;14,557;15,677;15,786;14,402;12,674;10,025;7,934;6,040;4,075;4,833;2023
;Pasco;267,425;23,054;23,651;24,874;23,745;20,454;20,226;19,537;20,230;20,117;17,112;14,211;11,751;9,048;6,814;5,043;3,368;4,190;2023
;Piura;2,127,093;180,307;179,716;179,700;176,652;162,085;177,945;175,697;156,444;147,001;128,572;105,333;94,912;80,591;66,868;48,848;29,926;36,496;2023
;Puno;1,217,951;104,912;105,411;106,421;102,943;96,538;99,696;99,339;89,841;78,215;70,452;62,967;51,852;42,953;34,841;27,212;19,709;24,649;2023
;San Martín;935,194;92,818;90,538;89,545;84,520;74,174;71,330;67,505;64,802;61,539;54,861;46,991;42,358;34,403;23,870;15,817;9,766;10,357;2023
;Tacna;390,279;25,832;25,193;24,464;26,547;28,346;30,624;30,154;30,604;31,220;29,689;25,910;23,863;19,105;14,082;10,354;6,809;7,483;2023
;Tumbes;263,164;22,087;21,527;20,919;20,446;19,698;19,584;18,714;19,072;19,581;19,040;16,003;13,573;11,063;8,443;6,007;3,631;3,776;2023
;Ucayali;627,233;70,376;64,330;57,864;52,742;48,186;50,169;45,566;42,888;42,337;36,465;29,692;26,017;20,833;15,215;10,660;6,385;7,508;2023
;Amazonas;430,123;44,355;44,114;43,692;42,145;33,367;32,042;31,478;33,167;28,120;23,955;17,984;16,351;13,116;9,940;7,197;4,459;4,641;2024
;Áncash;1,202,171;104,274;104,785;98,361;96,573;79,888;93,071;95,985;93,344;81,457;70,785;59,615;57,510;48,146;37,390;30,413;21,551;29,023;2024
;Apurímac;426,626;40,132;40,987;41,151;39,003;30,413;30,887;34,844;38,887;30,006;23,134;17,692;15,352;13,786;10,305;8,010;5,570;6,467;2024
;Arequipa;1,605,569;121,910;119,671;110,994;118,387;116,419;129,651;127,053;115,802;114,216;105,615;93,725;85,438;71,231;56,864;45,533;31,872;41,188;2024
;Ayacucho;669,737;65,144;65,715;64,928;62,999;52,376;54,351;57,452;52,253;41,526;33,534;27,850;24,211;21,284;16,041;12,168;8,220;9,685;2024
;Cajamarca;1,447,707;132,218;134,460;141,073;143,271;115,568;113,591;114,186;108,672;95,379;83,222;64,290;55,462;45,326;35,519;26,972;17,909;20,589;2024
;Prov. Const. del Callao;1,209,614;92,224;90,806;80,121;82,906;77,739;89,951;87,320;80,782;85,465;86,083;77,592;69,890;58,062;47,114;39,681;27,961;35,917;2024
;Cusco;1,398,036;124,764;124,552;122,035;124,986;107,326;113,077;117,671;111,187;95,093;78,990;62,895;57,652;50,370;38,777;28,331;18,857;21,473;2024
;Huancavelica;335,142;34,503;34,732;36,130;36,410;28,902;25,882;25,644;24,694;20,595;15,581;11,492;10,089;9,278;7,206;5,644;3,895;4,465;2024
;Huánuco;746,509;72,652;72,250;73,030;74,417;63,436;62,416;60,572;52,886;48,840;41,214;30,681;25,818;21,533;16,683;12,594;8,300;9,187;2024
;Ica;1,062,346;97,632;96,216;89,145;90,393;84,861;86,335;83,154;72,197;65,038;57,432;52,112;47,137;42,449;32,947;25,750;18,201;21,347;2024
;Junín;1,380,561;127,129;126,900;123,976;121,789;107,756;107,968;109,401;104,827;88,659;74,500;66,587;57,546;48,549;39,842;31,039;20,951;23,142;2024
;La Libertad;2,130,145;189,728;185,141;162,722;160,884;143,933;168,446;167,853;165,135;150,575;129,218;109,199;102,681;85,561;68,579;54,657;38,270;47,563;2024
;Lambayeque;1,361,554;113,416;114,736;109,038;110,630;94,352;104,393;101,889;98,664;88,942;80,993;73,183;68,759;57,332;46,936;38,245;26,199;33,847;2024
;Lima;11,304,993;766,108;726,385;665,941;761,374;777,502;905,168;895,381;852,841;857,682;807,194;726,030;654,348;549,009;431,653;359,509;253,177;315,691;2024
;Loreto;1,057,592;122,330;117,516;111,231;104,921;84,405;80,425;74,812;73,412;63,859;52,866;41,023;34,736;30,007;23,697;18,216;11,952;12,184;2024
;Madre de Dios;197,096;17,729;16,179;14,120;14,145;13,956;17,159;17,054;16,512;15,352;12,620;10,779;10,250;8,320;5,489;3,652;1,798;1,982;2024
;Moquegua;201,129;13,196;13,388;13,137;13,318;13,000;13,820;13,659;14,355;15,394;16,009;14,534;13,123;10,432;8,155;6,300;4,268;5,041;2024
;Pasco;265,392;22,453;23,263;23,806;23,985;20,032;20,106;19,216;19,466;20,186;17,383;14,376;11,981;9,340;6,931;5,176;3,471;4,221;2024
;Piura;2,149,978;179,293;182,637;177,128;180,829;158,905;174,417;179,709;158,394;148,395;134,407;106,829;96,970;82,778;68,183;52,478;30,870;37,756;2024
;Puno;1,208,802;102,701;103,925;103,813;102,250;94,349;96,659;98,617;90,416;78,856;69,820;63,945;52,454;43,539;35,166;27,558;19,891;24,843;2024
;San Martín;945,523;92,759;91,319;88,610;86,139;74,326;71,917;67,796;64,935;61,884;56,414;47,518;42,831;36,108;25,183;16,717;10,329;10,738;2024
;Tacna;396,180;25,907;26,043;24,378;27,041;27,821;30,909;30,257;30,674;31,050;30,716;26,127;24,484;20,165;14,633;10,923;7,153;7,899;2024
;Tumbes;266,653;22,125;21,918;20,852;20,788;19,598;19,908;18,613;19,073;19,266;19,568;16,457;13,945;11,552;8,744;6,395;3,869;3,982;2024
;Ucayali;639,279;71,130;66,591;58,644;54,579;47,301;50,670;46,535;42,545;42,812;38,036;30,322;26,583;21,853;15,794;11,363;6,779;7,742;2024
;Amazonas;430,251;43,808;43,767;42,621;42,400;33,509;31,957;30,594;33,193;28,424;24,765;18,241;16,554;13,450;10,179;7,451;4,604;4,734;2025
;Áncash;1,205,639;102,953;105,597;97,413;97,965;78,054;90,767;94,819;94,183;82,846;72,669;59,862;58,047;49,586;38,139;31,165;21,950;29,624;2025
;Apurímac;424,906;39,274;40,433;40,045;39,158;30,377;30,153;33,101;39,136;31,013;24,031;18,115;15,306;14,030;10,468;8,145;5,554;6,567;2025
;Arequipa;1,631,136;122,492;122,464;112,081;120,575;115,697;129,163;129,366;117,113;115,643;108,007;95,379;87,502;73,768;58,598;47,175;33,375;42,738;2025
;Ayacucho;669,020;64,004;65,116;63,473;63,066;52,014;52,902;56,840;53,262;42,777;34,367;28,305;24,265;21,709;16,372;12,481;8,258;9,809;2025
;Cajamarca;1,443,839;130,100;132,283;136,256;143,158;115,267;111,775;112,766;109,139;96,009;85,494;65,617;56,348;46,337;36,204;27,731;18,357;20,998;2025
;Prov. Const. del Callao;1,228,411;92,388;93,500;81,589;85,342;77,155;89,457;88,796;80,826;84,937;87,124;78,992;71,810;60,259;48,321;41,057;29,336;37,522;2025
;Cusco;1,406,165;123,657;124,891;119,968;125,856;106,866;111,094;117,064;112,892;97,483;81,891;64,081;58,036;51,489;39,972;29,324;19,546;22,055;2025
;Huancavelica;327,440;33,250;33,438;33,960;35,525;28,564;25,144;24,731;24,348;20,782;15,978;11,569;9,832;9,228;7,163;5,644;3,847;4,437;2025
;Huánuco;741,887;71,303;71,163;70,616;73,919;62,715;61,055;60,523;52,689;48,831;42,319;31,323;26,013;21,858;16,921;12,881;8,468;9,290;2025
;Ica;1,083,566;98,131;98,269;90,083;91,953;85,597;86,801;85,257;74,240;66,888;58,854;53,248;47,908;43,931;34,287;26,831;19,118;22,170;2025
;Junín;1,383,107;125,688;126,568;122,651;122,180;107,242;106,395;108,137;105,774;90,621;75,416;67,228;58,317;49,347;40,473;31,892;21,578;23,600;2025
;La Libertad;2,155,943;189,418;189,622;164,762;164,984;141,261;166,018;167,165;166,269;153,773;133,321;110,647;104,588;88,322;70,496;56,640;39,562;49,095;2025
;Lambayeque;1,372,301;112,718;115,945;109,120;112,934;92,754;102,950;101,556;99,584;90,180;82,234;73,532;69,867;58,927;47,907;39,638;27,401;35,054;2025
;Lima;11,461,995;771,669;747,718;670,290;774,846;768,169;898,318;903,778;854,762;863,599;821,639;739,561;670,375;570,677;443,837;371,806;263,806;327,145;2025
;Loreto;1,063,495;121,597;117,517;110,330;106,256;84,531;80,275;73,965;73,538;64,884;54,535;42,115;35,145;30,596;24,210;18,789;12,494;12,718;2025
;Madre de Dios;203,069;18,156;16,834;14,396;14,602;13,964;17,287;17,364;16,839;15,958;13,262;11,064;10,531;8,838;5,887;4,001;2,003;2,083;2025
;Moquegua;202,946;13,148;13,485;13,096;13,401;13,003;13,908;13,661;14,205;15,161;16,113;14,714;13,496;10,850;8,424;6,550;4,471;5,260;2025
;Pasco;263,354;21,877;22,807;22,949;23,880;19,797;19,913;18,949;18,861;20,077;17,616;14,574;12,196;9,610;7,092;5,304;3,578;4,274;2025
;Piura;2,172,710;178,192;184,240;175,984;182,875;157,659;171,269;181,927;161,100;150,177;139,068;109,578;98,933;84,951;69,815;55,452;32,397;39,093;2025
;Puno;1,199,636;100,491;102,264;101,565;101,071;92,589;94,004;97,460;90,727;79,475;69,576;64,532;53,152;44,112;35,551;27,894;20,104;25,069;2025
;San Martín;955,789;92,647;91,819;88,155;87,030;74,882;72,405;68,204;65,161;62,252;57,654;48,330;43,371;37,502;26,574;17,684;10,930;11,189;2025
;Tacna;402,089;25,925;26,630;24,506;27,314;27,592;31,004;30,460;30,792;31,009;31,438;26,598;25,028;21,112;15,319;11,480;7,540;8,342;2025
;Tumbes;270,134;22,130;22,192;20,898;20,999;19,633;20,121;18,644;19,054;19,074;19,890;16,946;14,347;12,009;9,098;6,756;4,131;4,212;2025
;Ucayali;651,416;71,778;68,343;59,726;55,986;47,174;50,867;47,436;42,642;43,161;39,336;31,221;27,197;22,761;16,494;12,021;7,227;8,046;2025
