________________________________________________________________________________________________________________________ Exportar ==>;;;;;;;;;
;;;;;;;;;
Año;Cod. Ubigeo;Departamento;Provincia;Distrito;Cod CIIU (Rev 3);Sector;Sub Sector;Actividad Económica;Cant. Contrib
2025;150101;LIMA;LIMA;LIMA;1554;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;"ELABORACION DE BEBIDAS NO ALCOHOLICAS; PRODUCCION DE AGUAS MINERALES";9
2025;150101;LIMA;LIMA;LIMA;1600;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;ELABORACION DE PRODUCTOS DE TABACO;2
2025;150101;LIMA;LIMA;LIMA;1711;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;"PREPARACION E HILATURA DE FIBRAS TEXTILES; TEJEDURA DE PRODUCTOS TEXTILES";48
2025;150101;LIMA;LIMA;LIMA;1712;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;ACABADO DE PRODUCTOS TEXTILES;375
2025;150101;LIMA;LIMA;LIMA;1721;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;FAB. DE ARTICULOS CONFECCIONADOS DE MATERIALES TEXTILES, EXCEPTO PRENDAS DE VESTIR;222
2025;150101;LIMA;LIMA;LIMA;1722;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;FAB. DE TAPICES Y ALFOMBRAS;9
2025;150101;LIMA;LIMA;LIMA;1723;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;FAB. DE CUERDAS, CORDELES, BRAMANTES Y REDES;13
2025;150101;LIMA;LIMA;LIMA;1729;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;FAB. DE OTROS PRODUCTOS TEXTILES N.C.P.;227
2025;150101;LIMA;LIMA;LIMA;1730;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;FAB. DE TEJIDOS Y ARTICULOS DE PUNTO Y GANCHILLO;41
2025;150101;LIMA;LIMA;LIMA;1810;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;FAB. DE PRENDAS DE VESTIR EXCEPTO PRENDAS DE PIEL;1574
2025;150101;LIMA;LIMA;LIMA;1820;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;"ADOBO Y TE IDO DE PIELES; FABRICACION DE ARTICULOS DE PIEL";13
2025;150101;LIMA;LIMA;LIMA;1911;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;CURTIDO Y ADOBO DE CUEROS;7
2025;150101;LIMA;LIMA;LIMA;1912;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;FAB. DE MALETAS, BOLSOS DE MANO Y ARTICULOS SIMILARES, Y DE ARTICULOS DE TALABARTERIA Y GUARNICIONERIA;450
2025;150101;LIMA;LIMA;LIMA;1920;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;FABRICACION DE CALZADO;205
2025;150101;LIMA;LIMA;LIMA;2010;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;ASERRADO Y ACEPILLADURA DE MADERA;12
2025;150101;LIMA;LIMA;LIMA;2021;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;"FAB. DE HOJAS DE MADERA PARA ENCHAPADO; FABRICACION DE TABLEROS CONTRACHAPADOS, TABLEROS LAMINADOS, TABLEROS DE PARTICULAS Y OTROS TABLEROS Y PANELES";4
2025;150101;LIMA;LIMA;LIMA;2022;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;FAB. DE PARTES Y PIEZAS DE CARPINTERIA PARA EDIFICIOS Y CONSTRUCCIONES;75
2025;150101;LIMA;LIMA;LIMA;2023;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;FAB. DE RECIPIENTES DE MADERA;6
2025;150101;LIMA;LIMA;LIMA;2029;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;"FAB. DE OTROS PRODUCTOS DE MADERA; FABRICACION DE ARTICULOS DE CORCHO, PAJA Y MATERIALES TRENZABLES";74
2025;150101;LIMA;LIMA;LIMA;2101;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;FAB. DE PASTA DE MADERA, PAPEL Y CARTON;13
2025;150101;LIMA;LIMA;LIMA;2102;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;FAB. DE PAPEL Y CARTON ONDULADO, Y DE ENVASES DE PAPEL Y CARTON;45
2025;150101;LIMA;LIMA;LIMA;2109;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;FAB. DE OTROS ARTICULOS DE PAPEL Y CARTON;122
2025;150101;LIMA;LIMA;LIMA;2211;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;EDICION DE LIBROS, FOLLETOS, PARTITURAS Y OTRAS PUBLICACIONES;149
2025;150101;LIMA;LIMA;LIMA;2212;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;EDICION DE PERIODICOS, REVISTAS Y PUBLICACIONES PERIODICAS;64
2025;150101;LIMA;LIMA;LIMA;2213;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;EDICION DE GRABACIONES;8
2025;150101;LIMA;LIMA;LIMA;2219;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;OTRAS ACTIVIDADES DE EDICION;95
2025;150101;LIMA;LIMA;LIMA;2221;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;ACTIVIDADES DE IMPRESION;2916
2025;150101;LIMA;LIMA;LIMA;2222;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;ACTIVIDADES DE SERVICIOS RELACIONADAS CON LA IMPRESION;582
2025;150101;LIMA;LIMA;LIMA;2230;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;REPRODUCCION DE GRABACIONES;22
2025;150101;LIMA;LIMA;LIMA;2320;D.- MANUFACTURA;PROCESADORES DE RECURSOS PRIMARIOS;FAB. DE PRODUCTOS DE LA REFINACION DEL PETROLEO;2
2025;150101;LIMA;LIMA;LIMA;2330;D.- MANUFACTURA;PROCESADORES DE RECURSOS PRIMARIOS;ELABORACION DE COMBUSTIBLE NUCLEAR;1
